cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,L,AP,preRiCTO,14.4388553549539,7.885224980149469,14.017548064421872,16.14349626020905,17.62266076604867,AB
15kg_10bpm,10AB,L,ML,preRiCTO,16.364353862612496,18.51750299209748,15.471676818832593,20.34412932566772,9.079017111990012,AB
15kg_10bpm,10AB,L,Resultant,preRiCTO,22.53337425611426,25.875234153316125,9.313769519258413,5.199008874989637,34.91773575753103,AB
15kg_10bpm,10AB,L,Vertical,preRiCTO,24.246768480690466,30.235634672477527,9.438217700984826,2.598241562949227,36.22996716564843,AB
15kg_10bpm,10AB,R,AP,preRiCTO,16.415637690350334,6.902348207565378,12.37652007763853,19.973710720167368,21.68174058109718,AB
15kg_10bpm,10AB,R,ML,preRiCTO,17.678061017885877,21.343993940438626,20.734309049832973,8.970172318033,16.888044204742688,AB
15kg_10bpm,10AB,R,Resultant,preRiCTO,22.677372139914237,22.372589588502894,2.760896644398809,1.0711224423150068,38.832984821001375,AB
15kg_10bpm,10AB,R,Vertical,preRiCTO,24.411890776214477,25.203559543564424,9.188764317532751,3.5632078306558688,40.13498866968637,AB
15kg_10bpm,11AB,L,AP,preRiCTO,14.726428588486728,8.29947373535183,12.462171527214334,15.81066290925643,19.660128011321863,AB
15kg_10bpm,11AB,L,ML,preRiCTO,17.376692420547794,18.102522768621792,13.113509203703995,23.336825253942717,12.994187618348201,AB
15kg_10bpm,11AB,L,Resultant,preRiCTO,26.070086492496376,28.092025350080238,8.787275744992316,5.291555064203373,42.192381706258026,AB
15kg_10bpm,11AB,L,Vertical,preRiCTO,27.08673163693018,31.241572100323612,8.877970717775517,2.824743671761729,42.75689773568011,AB
15kg_10bpm,11AB,R,AP,preRiCTO,14.941011637463909,7.134168947105835,10.621765621624732,19.051069123501815,18.994006188145928,AB
15kg_10bpm,11AB,R,ML,preRiCTO,15.937517655481518,20.3672245931186,18.19496041124457,6.760627332487588,15.018947997632766,AB
15kg_10bpm,11AB,R,Resultant,preRiCTO,27.97558691517983,26.730329772011626,3.111240935726564,1.78917984617256,48.38197054850332,AB
15kg_10bpm,11AB,R,Vertical,preRiCTO,28.64438624179438,28.7869547063351,8.543647571451443,3.2146505511219234,48.06652875430109,AB
15kg_10bpm,12AB,L,AP,preRiCTO,14.226773912893398,8.893898874126478,10.190534847996963,16.922557371356067,18.30245470229686,AB
15kg_10bpm,12AB,L,ML,preRiCTO,16.416816248948063,16.128867348924594,13.434812042946637,20.343099190608143,15.011267433854798,AB
15kg_10bpm,12AB,L,Resultant,preRiCTO,22.336714098162325,20.0525267068904,9.446959521864082,6.351810579834146,37.77435497463743,AB
15kg_10bpm,12AB,L,Vertical,preRiCTO,23.564423641542867,22.88726683103846,10.014224471819366,2.8808699703002256,39.35695181166348,AB
15kg_10bpm,12AB,R,AP,preRiCTO,16.067045698758292,7.511899292724621,10.323826640745185,21.33001122878447,20.21391423222173,AB
15kg_10bpm,12AB,R,ML,preRiCTO,15.500535721829266,17.249548347885966,14.973322709895353,11.549435262891526,17.418500578212676,AB
15kg_10bpm,12AB,R,Resultant,preRiCTO,23.486902614729633,20.142177757128362,3.93200259152879,2.407106151958097,41.621481513412434,AB
15kg_10bpm,12AB,R,Vertical,preRiCTO,24.632911122121474,21.006352254036315,9.46842663475056,4.3519661703363965,42.7597819027918,AB
15kg_10bpm,13AB,L,AP,preRiCTO,15.605813821111091,8.443001544255532,14.333858699619496,18.50040679870213,18.731363175348463,AB
15kg_10bpm,13AB,L,ML,preRiCTO,17.516790559669367,20.818608056848376,13.765587875806963,21.78485268288398,11.690712400956238,AB
15kg_10bpm,13AB,L,Resultant,preRiCTO,23.842134148692125,27.08437607376205,8.370396708673477,5.839660544002798,37.452517809127905,AB
15kg_10bpm,13AB,L,Vertical,preRiCTO,25.835071493096354,32.58068452407917,8.17733342035164,2.7678470714463432,38.73567911102079,AB
15kg_10bpm,13AB,R,AP,preRiCTO,14.818504081722473,9.327459175472109,9.820457847781485,18.532825015133753,18.611082444783353,AB
15kg_10bpm,13AB,R,ML,preRiCTO,16.62546456398035,22.550230875152373,16.847305671838676,8.570609048791393,15.531623149398362,AB
15kg_10bpm,13AB,R,Resultant,preRiCTO,26.123933198644778,23.852345094738073,3.5706925662830966,2.1064247535325213,45.689342947529376,AB
15kg_10bpm,13AB,R,Vertical,preRiCTO,26.794583904491518,27.133221667144287,6.4574955775696425,2.794498008062696,45.09388400064477,AB
15kg_10bpm,1AB,L,AP,preRiCTO,15.012793423615642,8.074819553146707,9.03101364955163,18.041471933796174,20.528933528343952,AB
15kg_10bpm,1AB,L,ML,preRiCTO,20.440087079672594,19.75979032683489,19.763210934215916,24.136656615713097,17.65830903013076,AB
15kg_10bpm,1AB,L,Resultant,preRiCTO,25.095506240038834,24.011157420794454,8.019916089961859,5.303869626914903,42.46427620000081,AB
15kg_10bpm,1AB,L,Vertical,preRiCTO,25.61249694772154,27.372453564703314,6.948137902716053,1.551774622705472,42.17983660467986,AB
15kg_10bpm,1AB,R,AP,preRiCTO,16.636950006729418,5.231083591076254,11.48217574235325,22.56465424137305,20.797922649105093,AB
15kg_10bpm,1AB,R,ML,preRiCTO,16.80661241183323,22.496919591937644,15.671506486025693,10.118922113897924,16.61345841311358,AB
15kg_10bpm,1AB,R,Resultant,preRiCTO,27.43513492429105,23.843826958086044,2.828543327305659,2.7264908368411462,48.6044818757232,AB
15kg_10bpm,1AB,R,Vertical,preRiCTO,27.977176872938387,26.013312690788794,7.447365351131793,3.640443754546111,48.206188574923175,AB
15kg_10bpm,2AB,L,AP,preRiCTO,15.523409180786263,8.762431580075082,11.380992631362512,18.518331843980683,20.198728180778822,AB
15kg_10bpm,2AB,L,ML,preRiCTO,20.994881882076815,23.58195344114457,23.06133669240385,20.322193909648934,16.403749575379354,AB
15kg_10bpm,2AB,L,Resultant,preRiCTO,26.967404238998064,26.131708652764377,9.136264273015303,6.282172138217756,45.27958013680721,AB
15kg_10bpm,2AB,L,Vertical,preRiCTO,27.867121457394443,30.414941471441114,7.389591486843554,3.0372827000171245,45.45146479788273,AB
15kg_10bpm,2AB,R,AP,preRiCTO,18.018791316496177,6.726898571496932,14.405981988580322,23.30255767885042,22.272390631663544,AB
15kg_10bpm,2AB,R,ML,preRiCTO,19.58457533063538,26.249817269386867,18.386705749348845,12.403989988531144,18.82566181632806,AB
15kg_10bpm,2AB,R,Resultant,preRiCTO,28.355150391694742,21.946272057993383,2.221634071012819,1.724339625343359,51.503089290832605,AB
15kg_10bpm,2AB,R,Vertical,preRiCTO,29.151500564659937,23.97790371718871,8.539162192220534,4.959025328356631,51.52280348646631,AB
15kg_10bpm,4AB,L,AP,preRiCTO,15.99648105768969,8.70806560734742,12.241116230228034,19.33059501232727,20.43841322238288,AB
15kg_10bpm,4AB,L,ML,preRiCTO,18.152180215150615,21.471282104084487,18.54691734506832,17.101982676066005,14.990533630406354,AB
15kg_10bpm,4AB,L,Resultant,preRiCTO,24.228676061166652,25.944331968881553,8.966490625910051,7.01865634399867,38.83926779942987,AB
15kg_10bpm,4AB,L,Vertical,preRiCTO,27.071091768600816,30.24870270538283,9.362765458300006,2.846546545393037,43.300621541738785,AB
15kg_10bpm,4AB,R,AP,preRiCTO,16.930983050642826,7.532644248298938,13.726693981609392,25.70322756707115,15.574890767805503,AB
15kg_10bpm,4AB,R,ML,preRiCTO,18.55635438857638,24.091264911594877,17.603153142805326,15.93791772548226,15.406336648112955,AB
15kg_10bpm,4AB,R,Resultant,preRiCTO,27.18945411023285,22.899454166430854,2.1309841467331587,2.3262738587964327,48.55903099897821,AB
15kg_10bpm,4AB,R,Vertical,preRiCTO,28.488928912029767,24.67265150751936,9.971468858696486,4.437764911604925,49.527356116233754,AB
15kg_10bpm,5AB,L,AP,preRiCTO,15.90955370696626,6.638347845971681,11.127750264344776,20.095127007119267,20.821390976487216,AB
15kg_10bpm,5AB,L,ML,preRiCTO,20.865578892812117,20.445015619775408,22.212349205613585,25.64675210318959,13.507882707975146,AB
15kg_10bpm,5AB,L,Resultant,preRiCTO,25.83766018166717,24.43731312711255,8.744438819543374,6.953268185526791,43.57847365119514,AB
15kg_10bpm,5AB,L,Vertical,preRiCTO,27.23701769507565,28.753319924233757,8.456485294902343,1.8644821704613086,44.88610472235561,AB
15kg_10bpm,5AB,R,AP,preRiCTO,16.48783571342461,5.0809288678784705,12.966056932597866,24.319642109334676,17.345177567612843,AB
15kg_10bpm,5AB,R,ML,preRiCTO,19.63731026332772,22.631571818197667,16.455874520628363,17.422921201336923,21.289640476853176,AB
15kg_10bpm,5AB,R,Resultant,preRiCTO,23.877027561509315,24.005346560898058,4.440824260486676,3.1632210827904617,40.39790940015512,AB
15kg_10bpm,5AB,R,Vertical,preRiCTO,25.562912066143166,26.393171153647618,9.056856318841424,3.15678963650494,42.19229037079145,AB
15kg_10bpm,6AB,L,AP,preRiCTO,17.706192765146405,9.433717310865868,10.735264906190979,21.235032143000005,24.246528189497933,AB
15kg_10bpm,6AB,L,ML,preRiCTO,16.04176327633701,16.404542634989447,11.315046954474028,20.356593209745377,14.810209870497557,AB
15kg_10bpm,6AB,L,Resultant,preRiCTO,25.41756327015435,25.783606120115387,9.384910920050753,6.160757076562363,41.82410932866925,AB
15kg_10bpm,6AB,L,Vertical,preRiCTO,27.07522122536706,29.36530228130613,10.222423656337531,2.1978974794015245,43.742509743144765,AB
15kg_10bpm,6AB,R,AP,preRiCTO,17.176343237217925,6.80464687894032,9.868938833700337,22.33098277970242,22.98695645890294,AB
15kg_10bpm,6AB,R,ML,preRiCTO,19.833945810742435,18.88966881902972,19.401681853979127,18.189971765456573,22.471287711446998,AB
15kg_10bpm,6AB,R,Resultant,preRiCTO,24.986817923048573,24.48966157886499,4.097766451483894,3.233481399662334,42.69015498979585,AB
15kg_10bpm,6AB,R,Vertical,preRiCTO,26.39044766897495,26.142370809896256,10.112397396585282,3.016128378774113,44.05961846809815,AB
15kg_10bpm,7AB,L,AP,preRiCTO,18.0873530340619,7.681995811594573,14.970043152197139,22.290844651175167,22.82244268712688,AB
15kg_10bpm,7AB,L,ML,preRiCTO,18.430829902716425,19.249008307148475,20.96818814470981,21.16346196089418,10.482972741396827,AB
15kg_10bpm,7AB,L,Resultant,preRiCTO,23.412315472562103,26.31495561020958,10.240035220427353,6.936111980809106,36.28183832969403,AB
15kg_10bpm,7AB,L,Vertical,preRiCTO,24.73140458902674,30.225465574488613,9.62427101392997,1.9748635323431427,37.479863041921355,AB
15kg_10bpm,7AB,R,AP,preRiCTO,18.378739575295604,6.4743027480959885,15.25467769260622,24.192805178078466,22.02947732971943,AB
