cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-1.21676269,-8.425417130227313,-18.724058268298265,-28.194939063542115,-33.66901462219832,-35.38425829882477,-37.433472215495776,-39.7421959592385,-41.7639254266199,-43.05311327986961,-43.37682931527729,-42.74544907574683,-41.362346455237365,-39.52185795748319,-37.50071431860881,-35.48585335812789,-33.5618127351075,-31.751770121655362,-30.080690562040466,-28.619433336760252,-27.481270565178907,-26.77204114792218,-26.525231760189726,-26.66401766214914,-27.016115035180686,-27.375104640000004,-27.574990627028285,-27.53969460825088,-27.28702256080423,-26.89396383362379,-26.449573424280214,-26.022453544446346,-25.65386627155911,-25.36803277323937,-25.183068414658898,-25.11312414793605,-25.164843525452717,-25.33671298642831,-25.624895052222193,-26.03011680856471,-26.556257128023223,-27.1969541671438,-27.917963826599227,-28.650425397781326,-29.306429389934635,-29.81513485573832,-30.163518206609446,-30.41930244253694,-30.719049659776523,-31.220182066685226,-32.03468451,-33.17448670033752,-34.53652773097912,-35.93860802636802,-37.19234473028962,-38.1799061190188,-38.89658994831365,-39.4357738714617,-39.92120915425304,-40.420559097056746,-40.88753851243159,-41.169010631863536,-41.08183945230394,-40.52568468361696,-39.57102971082265,-38.465257307443906,-37.54064760882267,-37.06824424899662,-37.139266637740256,-37.63879299566222,-38.31571236285386,-38.89729649510923,-39.18607383711456,-39.10585757869889,-38.6987541386083,-38.09124397000001,-37.445692605418614,-36.90768657520648,-36.559022207941666,-36.38966530781155,-36.30175250717717,-36.149510659235425,-35.80365061269198,-35.21616655956783,-34.4592439077224,-33.72100489468163,-33.25585471146386,-33.10503245846681,-32.5086316760337,-31.279681168363744,-29.25392122699025,-26.239243518894412,-22.23146059805709,-17.51996252022967,-12.619686177944022,-8.081233624375079,-4.321013992126679,-1.602863217118056,-0.1809153562239474,1.6808249872240596e-07,0.0
7kg_10bpm,2AB,-2.14041525,-11.202975170776314,-23.507812895765102,-33.057125947221714,-35.896203021294234,-35.788258736763396,-36.11439759148845,-36.79959227915309,-37.640148712528855,-38.30174340637569,-38.5273215332689,-38.17929888264798,-37.20296650168147,-35.79487778626621,-34.15590792273228,-32.485325792912285,-30.950449479140076,-29.624611354475235,-28.53908229799263,-27.722152517069695,-27.146042846672795,-26.804475357802854,-26.692064992261837,-26.74738781701408,-26.898115260504117,-27.068621749999995,-27.182225019253327,-27.20151661433943,-27.1175451925767,-26.941011593780512,-26.720503807116962,-26.49731889080964,-26.31484545066107,-26.208162043702178,-26.19562952359113,-26.29249253132915,-26.515082624093033,-26.85649146398537,-27.316050808660854,-27.89608929591959,-28.56606615020411,-29.29040484457623,-30.021888329104765,-30.701850868876644,-31.292013768445297,-31.775764600510012,-32.162316423866535,-32.51194953609536,-32.8840512946488,-33.34354330049693,-33.92029552,-34.60157604655032,-35.34621374070655,-36.077368755434165,-36.72144488083106,-37.225103326982975,-37.54197831353199,-37.699908906521244,-37.74000269101026,-37.72277734115081,-37.72853355250801,-37.818289726559335,-38.032532845723345,-38.3851202258842,-38.8239063201078,-39.28177041215689,-39.66058174499394,-39.87856474913273,-39.89504871606938,-39.70072918478623,-39.34707747466503,-38.92582590385134,-38.52334792285882,-38.23377327769166,-38.093748725162406,-38.10528684,-38.232043235900456,-38.37199134851119,-38.40780758651512,-38.21323035757759,-37.674236019700494,-36.80247659186122,-35.67639899924661,-34.48280170584791,-33.50192548483933,-32.977509285113996,-32.848899484127685,-30.971491746181652,-27.089670230756948,-21.494115297501537,-14.78028475730977,-8.002889338969993,-2.4763836251204436,-0.14372281299502243,2.5216866807058302e-11,-3.908616479274592e-21,5.772511834349538e-31,-7.928178593690025e-41,9.593556510227764e-51,-8.620220042590801e-61,0.0
7kg_10bpm,3AB,-1.76263825,-12.001590259103999,-25.247157370179547,-34.64978877072221,-36.09370923811366,-36.686564245651475,-37.798353240378795,-39.14931757195277,-40.311022680589744,-40.942218306574894,-40.72288055628054,-39.68573708113393,-37.90220519087184,-35.67111159963991,-33.328226659185574,-31.180486563397086,-29.41938123424945,-28.092590832305557,-27.216281969471005,-26.627627809458904,-26.233801970000002,-25.954695341971203,-25.747884581259314,-25.62375107104078,-25.603077883012432,-25.68778698290175,-25.87353331544091,-26.108836161276066,-26.345094971775076,-26.5264759701524,-26.63298768271148,-26.66139729951125,-26.63688221478372,-26.605596933469766,-26.616412166982265,-26.715206674781243,-26.9219871558065,-27.25877102585157,-27.696143724826236,-28.20016929801307,-28.721063769999997,-29.205184223235612,-29.611845610358202,-29.916159518251916,-30.13215988196045,-30.2808723093196,-30.40991083358374,-30.562402716827286,-30.789752116660477,-31.119045417235128,-31.570884642629707,-32.171771792823705,-32.90104878925331,-33.74880396436483,-34.678437013403396,-35.63553146759166,-36.55969510547573,-37.38511075933881,-38.066407426171864,-38.531921784268064,-38.77648996,-38.7864801956782,-38.548851861723946,-38.12365339338474,-37.555593307231696,-36.935498249135804,-36.362060385267554,-35.948793417516235,-35.77802399108473,-35.881054158994885,-36.29514189118791,-36.92710713484802,-37.7001080411017,-38.50452663288429,-39.240153670705816,-39.82576888694524,-40.206223611886806,-40.37391398849947,-40.30262237892924,-40.024733044022824,-39.58248150999999,-39.03276226785994,-38.49303188774397,-37.987459407258996,-37.21317719407584,-36.22294583946527,-35.027501576157114,-33.557934002443965,-31.72438943493455,-29.405389611519322,-26.63576264457765,-23.52494895903399,-20.229932551143346,-16.961360458468036,-13.844776652900505,-10.965403011687288,-8.30508593915989,-5.89030768026242,-3.7579649909018022,-1.968236806451579,-0.71497021
7kg_10bpm,4AB,-0.37062477,-8.286712457237654,-21.290101257511324,-32.2887205652408,-35.03710397903037,-35.675651369932275,-36.941182043272505,-38.58639463084372,-40.196443518441065,-41.43528448834065,-41.978906261742324,-41.76421060145122,-40.75594697014686,-39.10471976143571,-37.053893851230626,-34.81121745578988,-32.601264930479395,-30.55116845570348,-28.772124214054386,-27.267154823872573,-26.033149966701917,-25.093105665299387,-24.39802358844721,-23.942486897750367,-23.717241538007478,-23.66850575,-23.76795578223839,-23.969713727079217,-24.227527677656965,-24.508911584226574,-24.784020271684156,-25.03923256179775,-25.270555855387116,-25.49524966933468,-25.737613135452975,-26.038905159329058,-26.42129373408021,-26.89925033903278,-27.469396816915054,-28.086333233974727,-28.69921812477529,-29.238612691476938,-29.65863417752686,-29.916407229159248,-30.01186198165844,-29.97920701300867,-29.859309842808884,-29.727219297428736,-29.643089378712528,-29.683264183887772,-29.87977824,-30.260569662663684,-30.85656867692894,-31.636837516457973,-32.589566240874994,-33.678122238150856,-34.83883725792889,-36.006845799373004,-37.09605054661474,-38.04065374658638,-38.76315920121436,-39.24962134152543,-39.5230481943512,-39.61599898967832,-39.633700901072764,-39.65636665343897,-39.7751228326757,-40.02558343079417,-40.420369771919106,-40.9256822506538,-41.45834157525714,-41.91923154131854,-42.188892387217024,-42.192232795842614,-41.84291265977776,-41.14990483999999,-40.172975631769006,-38.984954105716426,-37.74639134989831,-36.58940955889814,-35.69518392667863,-35.16294964226649,-35.10297817579694,-35.62022220138737,-36.66535071780559,-37.46945107970416,-34.7715488313771,-28.731585495549457,-20.29120136666453,-11.343670455488112,-3.8567978948324444,-0.3346933931737767,-5.921302773992744e-07,-6.205876980517016e-17,8.289891893981476e-26,2.2869285178333202e-35,-9.812087192175379e-45,-5.035315700471633e-54,8.396728725120525e-64,8.948453392019438e-73,0.0
7kg_10bpm,5AB,-3.11973343,-13.020907548644798,-24.341631063000637,-32.44220151112998,-34.38325503761302,-34.698140158800484,-35.516527568538116,-36.572079422790736,-37.62724689544088,-38.41856876479177,-38.797641157098475,-38.60265039205197,-37.92436472370844,-36.806949212366405,-35.40213056739293,-33.866777521901895,-32.34750030720462,-30.96004192279566,-29.79021091729407,-28.88386469767988,-28.215799457523417,-27.778996395312944,-27.480120063080722,-27.257681113827463,-27.044084970721887,-26.801311522480155,-26.514701434385554,-26.20913655659292,-25.920829745709952,-25.701007922549376,-25.57566077750334,-25.573896103572444,-25.685934665411647,-25.895605736952817,-26.191429841008468,-26.549186333351937,-26.97034721468964,-27.455774490169944,-28.005711491486025,-28.623499915795705,-29.27899384062228,-29.938079741478926,-30.547107289569023,-31.06577187098619,-31.437883551439455,-31.672539266092613,-31.77499164893158,-31.786164060398026,-31.759574577850984,-31.745966711708547,-31.78193188236608,-31.888921001568576,-32.07612571443207,-32.33436347476131,-32.67223120043799,-33.08685186610936,-33.58798615206212,-34.18886997634621,-34.874062711970076,-35.62782003562733,-36.3984143891883,-37.13269001212347,-37.76023664511282,-38.25392861663015,-38.58759829411254,-38.79151806902895,-38.917062677442765,-39.026621982952825,-39.174842772946,-39.38985657757995,-39.65632528792593,-39.92808371427702,-40.12752102159637,-40.20010439512405,-40.09642036405681,-39.807607741848734,-39.37521540529769,-38.84004808509931,-38.284300958531674,-37.768564465993705,-37.354194736654435,-37.06707221445736,-36.95125353221025,-36.815362879543805,-36.30137005747732,-35.37533051187188,-34.09798386447548,-32.44444951205661,-30.445082588063052,-28.113581893978775,-25.464970671097852,-22.573083933304137,-19.50015256252822,-16.339990141320207,-13.173730066723651,-10.122863888857076,-7.256171203914555,-4.709135842815461,-2.6069685742631448,-1.0344754013549207,-0.19870896
7kg_10bpm,6AB,-0.53909878,-7.9846972382014165,-21.24234342550383,-32.5796079997714,-35.815064253929485,-36.593678312053655,-37.995475735288835,-39.54529293872818,-40.817654081182,-41.462702306771355,-41.22648409000752,-40.071789552901194,-38.162340769128406,-35.72566643065459,-33.10992924473175,-30.61782748887714,-28.437687347419416,-26.734651164372632,-25.49641644737155,-24.705183058837818,-24.281574435164117,-24.128538250532458,-24.183733750027866,-24.35679119997959,-24.602654814628295,-24.85966109717969,-25.087248888371864,-25.258057003673457,-25.35888597575375,-25.39576867939071,-25.39323791043954,-25.384564546440878,-25.404262290513607,-25.496476199618307,-25.673889975965697,-25.95791059856776,-26.33721135128377,-26.79546835014905,-27.300641213576487,-27.814900422362157,-28.29646906773237,-28.722605935138688,-29.064648422149332,-29.337148887675603,-29.552714791967794,-29.750018808302585,-29.96797327215797,-30.251105514048994,-30.623380497872354,-31.12060938428117,-31.72902676234656,-32.46117709997097,-33.28050948534023,-34.16732334956127,-35.08203008745352,-35.98861549827663,-36.843683258818274,-37.61687685353077,-38.25056646113775,-38.732327505457484,-38.9979363940197,-39.05171230056121,-38.87049593024057,-38.48684264005016,-37.954609077590234,-37.357679899306355,-36.79212559277816,-36.37637782830894,-36.1564538345291,-36.20497531136799,-36.48162245267897,-36.953948093195606,-37.53401183421484,-38.1388699764609,-38.6887894896689,-39.14827741083098,-39.48787160923041,-39.747719515965485,-39.961671700078305,-40.188335996317356,-40.474420566511185,-40.79766065103402,-40.90057372374022,-40.651420661189945,-40.05197049725812,-38.9800273297353,-37.47519126448653,-35.47483543347573,-33.075262920087184,-30.3512473522464,-27.442551079385257,-24.490088637463487,-21.616229026316564,-18.897269463754782,-16.39729185750796,-14.083289480864977,-11.947220017411771,-9.929563043828223,-8.007609985885919,-6.179621402115741,-4.46560716
7kg_10bpm,7AB,-2.11509508,-10.753822489233416,-22.169317349676454,-31.481868213698558,-35.46052650699684,-36.5499560597213,-38.16695227316892,-39.91023058694159,-41.40037033236845,-42.20886468509538,-42.148551499736804,-41.182462785458796,-39.39280080427777,-37.02979417563384,-34.4397983160872,-31.897682135408626,-29.659885623537466,-27.8384019804009,-26.44606806895998,-25.445229997333556,-24.750004746203352,-24.239800161157635,-23.84549858498241,-23.538541059038334,-23.32873524207893,-23.260498492157367,-23.39668778069657,-23.808172956839197,-24.4869001078187,-25.40104751644279,-26.479121472205655,-27.590863630527505,-28.618755465194372,-29.46612703653559,-30.051043148818977,-30.384771703266694,-30.489668689543702,-30.39841952025742,-30.166230738229007,-29.83797613050998,-29.445810800518938,-29.023252412771868,-28.616244493976513,-28.274005530088083,-28.064051762707592,-28.05497210069514,-28.290219624713657,-28.79959975951126,-29.609568915406232,-30.65263334370711,-31.86248257806619,-33.154016129327545,-34.42491254985297,-35.59888207025333,-36.6254819612226,-37.45569437327476,-38.090167913346846,-38.51607833777343,-38.70390505259134,-38.62436714922759,-38.289930769228334,-37.73923864072914,-37.06641118265766,-36.44873738978583,-36.05162699760739,-36.02714939978157,-36.459837200080024,-37.28202812943398,-38.379868560107056,-39.588578007876116,-40.71630235510572,-41.635005431082355,-42.255222918408315,-42.529615527565525,-42.49807975007404,-42.196010731974155,-41.65172168133568,-40.92236052860089,-40.05183476324398,-39.08619522568045,-38.106490362128525,-37.23017408066737,-36.58911073804332,-36.324477519736256,-36.15966377439756,-35.93396103170781,-35.51985773645783,-34.64498334738921,-33.100805756164334,-30.77649073219981,-27.6888626472902,-24.11157576395016,-20.410446353958807,-16.896527629749073,-13.81512256172046,-11.186458837262702,-8.913475154369278,-6.876225547099853,-4.971458967379078,-3.1902451522497683,-1.64171225
7kg_10bpm,8AB,-1.21334958,-10.329552839599812,-22.44642708626272,-32.14973823997513,-34.941208041187174,-35.78535863710971,-37.409537907000974,-39.407542279084154,-41.25566043431124,-42.504722147924966,-42.750722396213945,-41.96799228606195,-40.20911327117916,-37.70446524425594,-34.86032403398123,-31.9911204430678,-29.41013308482754,-27.25797909544673,-25.607568517931558,-24.472049587437134,-23.735043254557755,-23.32660540384397,-23.174538030612805,-23.181108425640993,-23.290563104787086,-23.449306370000002,-23.61499305849074,-23.773138415653694,-23.93716812116366,-24.145031619175768,-24.444732719523522,-24.89537301614631,-25.501146674255224,-26.251917008090153,-27.10464317632726,-27.976279283205,-28.79485409894617,-29.475993483708613,-29.988810874656192,-30.316293146048388,-30.458963032657117,-30.479859949773232,-30.432147304563017,-30.387203434274372,-30.409097200444435,-30.545987968890547,-30.850035678449345,-31.318037772539903,-31.94836908009682,-32.73292883952768,-33.61721395,-34.559186312489025,-35.50216842342351,-36.38965130564272,-37.173741345804665,-37.78814304103108,-38.21198729745099,-38.41871838443628,-38.37163840644402,-38.11554754652164,-37.69070005287162,-37.16746366478885,-36.65831443505831,-36.25447641070994,-36.06575395919951,-36.11451033929823,-36.40316376985311,-36.915558482159774,-37.55837482840707,-38.26617097401969,-38.97133802059276,-39.6275873089525,-40.21099460173445,-40.69278850326764,-41.06429102387504,-41.29763553000001,-41.323193748361135,-41.11269621827744,-40.63537184959597,-39.86212054132849,-38.892531082996086,-37.8396694734201,-36.89581088323686,-36.246542135891595,-36.03143870298487,-36.145809695890165,-36.12742441602726,-35.83204743197254,-34.974384167684384,-33.38241853298286,-30.981805961445982,-27.771929458527207,-24.09265593532171,-20.253364432823325,-16.5643236898162,-13.220467602767142,-10.247698363582364,-7.64603904936674,-5.305922898239313,-3.2226732528211164,-1.55922028
7kg_10bpm,10AB,-0.2280756,-6.574019992360938,-17.95489944671916,-29.199059145787736,-35.952612199245316,-38.10353622741642,-40.34148318229065,-42.09681384057888,-42.775232170685115,-42.11851281812713,-40.24239962282333,-37.55082271961792,-34.56823169682158,-31.75758179592595,-29.393847032175223,-27.536822254106898,-26.10037352509596,-24.97005369041043,-24.102042707447186,-23.555001177018628,-23.45002741064541,-23.893867626553906,-24.913272391780488,-26.429217974945068,-28.269290240778627,-30.199656970000003,-31.966574251212325,-33.34288615959052,-34.16973249294652,-34.38367734835922,-34.02434552835112,-33.2225158822071,-32.16848161937302,-31.068342496164025,-30.09856658758334,-29.369441698079843,-28.906927518161005,-28.65928599170305,-28.52760404647597,-28.410013663556356,-28.24283494141402,-28.022361623387713,-27.79952676549929,-27.65257209652975,-27.653260984527847,-27.844263192657994,-28.237903781372424,-28.833356269675797,-29.63751656480254,-30.671056981645577,-31.949996680000005,-33.450187236514566,-35.07620571205982,-36.65790019684758,-37.98976830284812,-38.902496003093916,-39.327594551736325,-39.321205597707724,-39.037494038226605,-38.66349376137168,-38.34426421987817,-38.13622103429008,-38.0108573385745,-37.90155546119227,-37.7624989428329,-37.60468903338065,-37.49128621250132,-37.50028356772429,-37.67877291035624,-38.0120379821792,-38.41934726617878,-38.777823468525554,-38.96953111704425,-38.93952249801501,-38.74096428514967,-38.53657498,-38.5374511486714,-38.89442917300301,-39.59544818707876,-40.43118938536775,-41.058590839824134,-41.1437306172438,-40.51919635568184,-39.13035830794003,-36.75257954456098,-33.85565542602443,-30.89956270189892,-28.138384077190693,-25.617610004681598,-23.24165177664543,-20.857742223863063,-18.326107111485086,-15.571412340882077,-12.615015826903186,-9.580826220319665,-6.668404083612521,-4.100576201910058,-2.068413041446155,-0.6997068500574002,-0.06312725215460556,0.0
7kg_10bpm,11AB,-0.501191,-12.127671304398698,-31.158531876148476,-38.36284432039899,-38.376542655024615,-39.46924443510437,-40.98920231538299,-42.0693142235063,-42.05687327822937,-40.75885545378297,-38.426371189843195,-35.53889586558816,-32.578674896260466,-29.879254595243285,-27.608021743924528,-25.839566963504783,-24.60423199546241,-23.89887755618479,-23.674484847054398,-23.83033320200919,-24.235281948850044,-24.768988640363418,-25.359385438620155,-25.994923364122556,-26.705770406441705,-27.525112989775753,-28.450641520722876,-29.424840739668692,-30.337898793778866,-31.062749601816094,-31.498285970722034,-31.59525204444692,-31.36721332663831,-30.877760442832432,-30.216680455815435,-29.47951092027077,-28.75706935522269,-28.134173533996012,-27.69061833942763,-27.498174688399434,-27.61251327224733,-28.0621814610797,-28.84134553903344,-29.912392506439897,-31.207212925456172,-32.63716030790423,-34.11179004040357,-35.546559171864004,-36.868902128952776,-38.022169265059404,-38.96578274457654,-39.67365582864569,-40.131720527614746,-40.33572927899656,-40.29117570013302,-40.0171354662572,-39.554033762883094,-38.9711458450326,-38.36424938050114,-37.840696248580436,-37.48832653725225,-37.33440254562307,-37.331253801532036,-37.36757160638833,-37.310739213679845,-37.06869716845575,-36.63862376599542,-36.11582807383156,-35.65375010516813,-35.393033701814005,-35.39450343932396,-35.60825382909952,-35.89145618163995,-36.06789481960467,-36.00821964028901,-35.7023537564044,-35.30983254524835,-35.12407539719947,-35.45643617851103,-36.48471066945849,-38.11472853058325,-39.84240118820582,-40.82450855425143,-40.5187925608075,-38.75382417704128,-35.80551401688049,-32.28345855119396,-28.86479543225566,-26.023309100897876,-23.885595230156344,-22.270253363152197,-20.84452318084501,-19.296409677581103,-17.466404195348833,-15.365533958907891,-13.123388344036803,-10.907801424386722,-8.849297586207475,-7.002155119843803,-5.352833001391324,-3.86536836
